Starting 30 workers... Done!
Preparing workers... Done!
Distribution: t=0.0 Uniform UNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 18, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 5.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 45.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 60.
18%, Active workers: 30, Completed tasks: 75.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 90.
24%, Active workers: 30, Completed tasks: 105.
25%, Active workers: 30, Completed tasks: 120.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 120.
30%, Active workers: 30, Completed tasks: 135.
31%, Active workers: 30, Completed tasks: 150.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 150.
35%, Active workers: 30, Completed tasks: 150.
36%, Active workers: 30, Completed tasks: 165.
37%, Active workers: 30, Completed tasks: 180.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 180.
41%, Active workers: 30, Completed tasks: 180.
42%, Active workers: 30, Completed tasks: 195.
43%, Active workers: 30, Completed tasks: 210.
44%, Active workers: 30, Completed tasks: 210.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 210.
47%, Active workers: 30, Completed tasks: 210.
48%, Active workers: 30, Completed tasks: 225.
49%, Active workers: 30, Completed tasks: 240.
50%, Active workers: 30, Completed tasks: 240.
51%, Active workers: 30, Completed tasks: 240.
52%, Active workers: 30, Completed tasks: 240.
53%, Active workers: 30, Completed tasks: 240.
54%, Active workers: 30, Completed tasks: 255.
55%, Active workers: 30, Completed tasks: 270.
56%, Active workers: 30, Completed tasks: 270.
57%, Active workers: 30, Completed tasks: 270.
58%, Active workers: 30, Completed tasks: 270.
59%, Active workers: 30, Completed tasks: 270.
60%, Active workers: 30, Completed tasks: 281.
61%, Active workers: 30, Completed tasks: 300.
62%, Active workers: 30, Completed tasks: 300.
63%, Active workers: 30, Completed tasks: 300.
64%, Active workers: 30, Completed tasks: 300.
65%, Active workers: 30, Completed tasks: 300.
66%, Active workers: 30, Completed tasks: 315.
67%, Active workers: 30, Completed tasks: 330.
68%, Active workers: 30, Completed tasks: 330.
69%, Active workers: 30, Completed tasks: 330.
70%, Active workers: 30, Completed tasks: 330.
71%, Active workers: 30, Completed tasks: 330.
72%, Active workers: 30, Completed tasks: 345.
73%, Active workers: 30, Completed tasks: 360.
74%, Active workers: 30, Completed tasks: 360.
75%, Active workers: 30, Completed tasks: 360.
76%, Active workers: 30, Completed tasks: 360.
77%, Active workers: 30, Completed tasks: 360.
78%, Active workers: 30, Completed tasks: 375.
79%, Active workers: 30, Completed tasks: 390.
80%, Active workers: 30, Completed tasks: 390.
81%, Active workers: 30, Completed tasks: 390.
82%, Active workers: 30, Completed tasks: 390.
83%, Active workers: 30, Completed tasks: 390.
84%, Active workers: 30, Completed tasks: 403.
85%, Active workers: 30, Completed tasks: 420.
86%, Active workers: 30, Completed tasks: 420.
87%, Active workers: 30, Completed tasks: 420.
88%, Active workers: 30, Completed tasks: 420.
89%, Active workers: 30, Completed tasks: 420.
90%, Active workers: 30, Completed tasks: 433.
91%, Active workers: 30, Completed tasks: 450.
92%, Active workers: 30, Completed tasks: 450.
93%, Active workers: 30, Completed tasks: 450.
94%, Active workers: 30, Completed tasks: 450.
95%, Active workers: 30, Completed tasks: 450.
96%, Active workers: 22, Completed tasks: 464.
97%, Active workers: 20, Completed tasks: 480.
98%, Active workers: 20, Completed tasks: 480.
99%, Active workers: 20, Completed tasks: 480.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.0 Uniform CNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 18.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 44.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 60.
18%, Active workers: 30, Completed tasks: 73.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 91.
24%, Active workers: 30, Completed tasks: 103.
25%, Active workers: 30, Completed tasks: 120.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 121.
30%, Active workers: 30, Completed tasks: 133.
31%, Active workers: 30, Completed tasks: 150.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 150.
35%, Active workers: 30, Completed tasks: 154.
36%, Active workers: 30, Completed tasks: 163.
37%, Active workers: 30, Completed tasks: 180.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 181.
41%, Active workers: 30, Completed tasks: 185.
42%, Active workers: 30, Completed tasks: 191.
43%, Active workers: 30, Completed tasks: 210.
44%, Active workers: 30, Completed tasks: 210.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 213.
47%, Active workers: 30, Completed tasks: 215.
48%, Active workers: 30, Completed tasks: 220.
49%, Active workers: 30, Completed tasks: 240.
50%, Active workers: 30, Completed tasks: 240.
51%, Active workers: 30, Completed tasks: 241.
52%, Active workers: 30, Completed tasks: 244.
53%, Active workers: 30, Completed tasks: 245.
54%, Active workers: 30, Completed tasks: 249.
55%, Active workers: 30, Completed tasks: 269.
56%, Active workers: 30, Completed tasks: 270.
57%, Active workers: 30, Completed tasks: 271.
58%, Active workers: 30, Completed tasks: 274.
59%, Active workers: 30, Completed tasks: 276.
60%, Active workers: 30, Completed tasks: 280.
61%, Active workers: 30, Completed tasks: 298.
62%, Active workers: 30, Completed tasks: 300.
63%, Active workers: 30, Completed tasks: 303.
64%, Active workers: 30, Completed tasks: 304.
65%, Active workers: 30, Completed tasks: 307.
66%, Active workers: 30, Completed tasks: 310.
67%, Active workers: 30, Completed tasks: 326.
68%, Active workers: 30, Completed tasks: 331.
69%, Active workers: 30, Completed tasks: 333.
70%, Active workers: 30, Completed tasks: 335.
71%, Active workers: 30, Completed tasks: 338.
72%, Active workers: 30, Completed tasks: 342.
73%, Active workers: 30, Completed tasks: 354.
74%, Active workers: 30, Completed tasks: 361.
75%, Active workers: 30, Completed tasks: 363.
76%, Active workers: 30, Completed tasks: 366.
77%, Active workers: 30, Completed tasks: 368.
78%, Active workers: 30, Completed tasks: 370.
79%, Active workers: 30, Completed tasks: 384.
80%, Active workers: 30, Completed tasks: 391.
81%, Active workers: 30, Completed tasks: 394.
82%, Active workers: 30, Completed tasks: 396.
83%, Active workers: 30, Completed tasks: 399.
84%, Active workers: 30, Completed tasks: 400.
85%, Active workers: 30, Completed tasks: 412.
86%, Active workers: 30, Completed tasks: 422.
87%, Active workers: 30, Completed tasks: 424.
88%, Active workers: 30, Completed tasks: 426.
89%, Active workers: 30, Completed tasks: 429.
90%, Active workers: 30, Completed tasks: 430.
91%, Active workers: 30, Completed tasks: 440.
92%, Active workers: 30, Completed tasks: 452.
93%, Active workers: 29, Completed tasks: 455.
94%, Active workers: 28, Completed tasks: 456.
95%, Active workers: 26, Completed tasks: 459.
96%, Active workers: 23, Completed tasks: 464.
97%, Active workers: 20, Completed tasks: 477.
98%, Active workers: 16, Completed tasks: 484.
99%, Active workers: 15, Completed tasks: 485.
100%, Active workers: 0, Completed tasks: 500.
Done!
Calculating averages... Done!Distribution: t=0.0 Uniform SNR, L: 128          
Searching for loose files... Done!Running workers...                            
0%, Active workers: 30, Completed tasks: 0.
1%, Active workers: 30, Completed tasks: 0.
2%, Active workers: 30, Completed tasks: 0.
3%, Active workers: 30, Completed tasks: 0.
4%, Active workers: 30, Completed tasks: 0.
5%, Active workers: 30, Completed tasks: 0.
6%, Active workers: 30, Completed tasks: 12.
7%, Active workers: 30, Completed tasks: 30.
8%, Active workers: 30, Completed tasks: 30.
9%, Active workers: 30, Completed tasks: 30.
10%, Active workers: 30, Completed tasks: 30.
11%, Active workers: 30, Completed tasks: 30.
12%, Active workers: 30, Completed tasks: 41.
13%, Active workers: 30, Completed tasks: 60.
14%, Active workers: 30, Completed tasks: 60.
15%, Active workers: 30, Completed tasks: 60.
16%, Active workers: 30, Completed tasks: 60.
17%, Active workers: 30, Completed tasks: 60.
18%, Active workers: 30, Completed tasks: 72.
19%, Active workers: 30, Completed tasks: 90.
20%, Active workers: 30, Completed tasks: 90.
21%, Active workers: 30, Completed tasks: 90.
22%, Active workers: 30, Completed tasks: 90.
23%, Active workers: 30, Completed tasks: 90.
24%, Active workers: 30, Completed tasks: 105.
25%, Active workers: 30, Completed tasks: 120.
26%, Active workers: 30, Completed tasks: 120.
27%, Active workers: 30, Completed tasks: 120.
28%, Active workers: 30, Completed tasks: 120.
29%, Active workers: 30, Completed tasks: 122.
30%, Active workers: 30, Completed tasks: 134.
31%, Active workers: 30, Completed tasks: 150.
32%, Active workers: 30, Completed tasks: 150.
33%, Active workers: 30, Completed tasks: 150.
34%, Active workers: 30, Completed tasks: 150.
35%, Active workers: 30, Completed tasks: 155.
36%, Active workers: 30, Completed tasks: 162.
37%, Active workers: 30, Completed tasks: 180.
38%, Active workers: 30, Completed tasks: 180.
39%, Active workers: 30, Completed tasks: 180.
40%, Active workers: 30, Completed tasks: 180.
41%, Active workers: 30, Completed tasks: 185.
42%, Active workers: 30, Completed tasks: 192.
43%, Active workers: 30, Completed tasks: 210.
44%, Active workers: 30, Completed tasks: 210.
45%, Active workers: 30, Completed tasks: 210.
46%, Active workers: 30, Completed tasks: 212.
47%, Active workers: 30, Completed tasks: 215.
48%, Active workers: 30, Completed tasks: 222.
49%, Active workers: 30, Completed tasks: 240.
50%, Active workers: 30, Completed tasks: 240.
51%, Active workers: 30, Completed tasks: 240.
52%, Active workers: 30, Completed tasks: 244.
53%, Active workers: 30, Completed tasks: 247.
54%, Active workers: 30, Completed tasks: 251.
55%, Active workers: 30, Completed tasks: 269.
56%, Active workers: 30, Completed tasks: 270.
57%, Active workers: 30, Completed tasks: 271.
58%, Active workers: 30, Completed tasks: 274.
59%, Active workers: 30, Completed tasks: 277.
60%, Active workers: 30, Completed tasks: 282.
61%, Active workers: 30, Completed tasks: 296.
62%, Active workers: 30, Completed tasks: 300.
63%, Active workers: 30, Completed tasks: 302.
64%, Active workers: 30, Completed tasks: 304.
65%, Active workers: 30, Completed tasks: 308.
66%, Active workers: 30, Completed tasks: 311.
67%, Active workers: 30, Completed tasks: 324.
68%, Active workers: 30, Completed tasks: 330.
69%, Active workers: 30, Completed tasks: 333.
70%, Active workers: 30, Completed tasks: 334.
71%, Active workers: 30, Completed tasks: 338.
72%, Active workers: 30, Completed tasks: 340.
73%, Active workers: 30, Completed tasks: 351.
74%, Active workers: 30, Completed tasks: 360.
75%, Active workers: 30, Completed tasks: 364.
76%, Active workers: 30, Completed tasks: 367.
77%, Active workers: 30, Completed tasks: 368.
78%, Active workers: 30, Completed tasks: 371.
79%, Active workers: 30, Completed tasks: 377.
